Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|05/09/2024|Vente|782000,00|58||AV|2347|DU MARECHAL JUIN|6400|CANNES|06|29||CH|218||23||||||||||1|3|Dépendance||0|0|||
|||||||000001|19/09/2024|Vente|94000,00|90||RUE|0170|D ANTIBES|6400|CANNES|06|29||BV|149||2423||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/09/2024|Vente|20000,00|4||RUE|1610|HELENE VAGLIANO|6400|CANNES|06|29||BT|107||3||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/09/2024|Vente|747530,00|4||RUE|0719|CIRRODE|6400|CANNES|06|29||CH|20||17||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/09/2024|Vente|747530,00|4||RUE|0719|CIRRODE|6400|CANNES|06|29||CH|20||34|63,00|35|27,00|||||||2|2|Appartement||88|4|||
|||||||000001|19/09/2024|Vente|26000,00|8||AV|1260|DE LA FLOTTE|6400|CANNES|06|29||CZ|44||12||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/09/2024|Vente|465000,00|5||RUE|1470|GENERAL FERRIE|6400|CANNES|06|29||BX|189||151|56,12|52||||||||2|2|Appartement||62|2|||
|||||||000001|16/09/2024|Vente|465000,00|9||RUE|1470|GENERAL FERRIE|6400|CANNES|06|29||BX|189||21||||||||||1|3|Dépendance||0|0|||
|||||||000001|16/09/2024|Vente|465000,00|5||RUE|1470|GENERAL FERRIE|6400|CANNES|06|29||BX|189||151|56,12|52||||||||2|3|Dépendance||0|0|||
|||||||000001|13/09/2024|Vente|178000,00|84||AV|2340|MARECHAL GALLIENI|6400|CANNES|06|29||CZ|73||70||||||||||1|3|Dépendance||0|0|||
|||||||000001|13/09/2024|Vente|178000,00|84||AV|2340|MARECHAL GALLIENI|6400|CANNES|06|29||CZ|73||14||||||||||1|3|Dépendance||0|0|||
|||||||000001|13/09/2024|Vente|178000,00|84||AV|2340|MARECHAL GALLIENI|6400|CANNES|06|29||CZ|73||141|40,78|||||||||1|2|Appartement||37|2|||
|||||||000001|19/09/2024|Vente|300000,00|23||RUE|2385|MARIUS MONTI|6400|CANNES|06|29||BN|150||5|65,57|||||||||1|2|Appartement||41|2|||
|||||||000001|19/09/2024|Vente|300000,00|23||RUE|2385|MARIUS MONTI|6400|CANNES|06|29||BN|150||1||||||||||1|3|Dépendance||0|0|||
|||||||000001|18/09/2024|Vente|435000,00|8|B|AV|1640|DES HESPERIDES|6400|CANNES|06|29||BZ|79||7||||||||||1|2|Appartement||35|2|||
|||||||000001|18/09/2024|Vente|435000,00|8|B|AV|1640|DES HESPERIDES|6400|CANNES|06|29||BZ|79||5|70,32|||||||||1|2|Appartement||36|1|||
|||||||000001|27/08/2024|Vente|330000,00|15||CHE|0605|DES CASSIFLORES|6400|CANNES|06|29||AX|7||52|50,39|||||||||1|3|Dépendance||0|0|||
|||||||000001|27/08/2024|Vente|330000,00|15||CHE|0605|DES CASSIFLORES|6400|CANNES|06|29||AX|7||52|50,39|||||||||1|2|Appartement||53|2|||
|||||||000001|26/08/2024|Vente|293300,00|5||IMP|0715|CIGALES|6400|CANNES|06|29||AZ|156||710||750|57,10|||||||2|2|Appartement||54|3|||
|||||||000001|26/08/2024|Vente|293300,00|5||IMP|0715|CIGALES|6400|CANNES|06|29||AZ|156||710||750|57,10|||||||2|3|Dépendance||0|0|||
